year,catch_t,SSB_t,B4plus_t,I_normalised,recruitment_000s,HR_ices,HR_data,delta_log_B,R_over_SSB,stock_productivity,catch_source
2009,183320.0,236289,747915,0.3576,117294,0.23,0.2451,0.0634,532.758613,747940.0,ICES_Table8
2010,178597.2,267988,796854,0.381,125885,0.22,0.2241,0.0568,617.486604,796953.0,Hagstofa
2011,182353.1,327567,843407,0.4032,165479,0.22,0.2162,0.1331,536.30555,843446.0,Hagstofa
2012,204955.1,363158,963525,0.4607,175676,0.22,0.2127,0.12,344.775552,963588.0,Hagstofa
2013,236303.4,388018,1086421,0.5194,125208,0.21,0.2175,0.006,449.63378,1086452.0,Hagstofa
2014,239950.6,355181,1092927,0.5225,174466,0.21,0.2195,0.072,418.152998,1093169.0,Hagstofa
2015,244464.0,461848,1174463,0.5615,148520,0.21,0.2081,0.0457,216.917687,1174743.0,Hagstofa
2016,264358.4,405675,1229426,0.5878,100183,0.2,0.215,-0.0593,382.150736,1229574.0,Hagstofa
2017,252755.5,535375,1158603,0.5539,155029,0.22,0.2182,0.0389,289.303759,1158366.0,Hagstofa
2018,274904.2,526252,1204517,0.5759,154886,0.22,0.2282,-0.0593,227.39106,1204663.0,Hagstofa
2019,273040.2,472196,1135211,0.5427,119665,0.24,0.2405,-0.0991,312.779015,1135302.0,Hagstofa
2020,276976.5,418667,1028124,0.4915,147693,0.26,0.2694,0.1117,318.491785,1028124.0,Hagstofa
2021,271765.6,423945,1149657,0.5497,133342,0.22,0.2364,-0.0122,404.106665,1149601.0,Hagstofa
2022,243574.4,442038,1135770,0.543,171319,0.2,0.2145,0.0387,307.625136,1135545.0,Hagstofa
2023,220554.9,425860,1180543,0.5644,135982,0.19,0.1868,-0.0997,252.275396,1180701.0,Hagstofa
2024,221752.5,398858,1068566,0.5109,107434,0.2,0.2075,-0.0946,295.641557,1068687.0,Hagstofa
2025,216682.4,386752,972145,0.4648,117919,,0.2229,,,972106.0,Hagstofa
